Run	Alias
ERR204824	GEUV:HG00355
ERR204826	GEUV:HG00114
ERR204828	GEUV:NA19129
ERR204830	GEUV:NA20527
ERR204831	GEUV:HG00355
ERR204842	GEUV:NA18873
ERR204844	GEUV:NA20798
ERR204846	GEUV:HG00355
ERR204847	GEUV:NA19118
ERR204848	GEUV:NA11832
ERR204849	GEUV:NA19107
ERR204850	GEUV:NA20518
ERR204851	GEUV:NA18912
ERR204854	GEUV:HG00355
ERR204855	GEUV:NA06986
ERR204856	GEUV:NA12275
ERR204857	GEUV:HG00349
ERR204860	GEUV:NA06986
ERR204862	GEUV:NA20771
ERR204863	GEUV:NA06986
ERR204867	GEUV:NA12004
ERR204871	GEUV:NA20532
ERR204872	GEUV:HG00338
ERR204873	GEUV:NA20754
ERR204874	GEUV:NA20527
ERR204878	GEUV:NA19108
ERR204881	GEUV:NA07000
ERR204890	GEUV:NA20773
ERR204892	GEUV:NA19121
ERR204901	GEUV:HG00355
ERR204906	GEUV:NA19213
ERR204908	GEUV:NA20527
ERR204913	GEUV:NA19143
ERR204915	GEUV:NA12413
ERR204916	GEUV:NA19225
ERR204922	GEUV:NA19131
ERR204929	GEUV:NA06986
ERR204934	GEUV:NA20527
ERR204937	GEUV:NA20512
ERR204940	GEUV:NA18861
ERR204941	GEUV:NA12751
ERR204951	GEUV:HG00131
ERR204953	GEUV:HG00355
ERR204954	GEUV:NA20765
ERR204955	GEUV:NA06986
ERR204959	GEUV:NA19206
ERR204960	GEUV:NA07048
ERR204962	GEUV:NA12813
ERR204965	GEUV:NA20527
ERR204966	GEUV:NA19200
ERR204968	GEUV:NA06986
ERR204971	GEUV:NA19185
ERR204972	GEUV:HG00355
ERR204973	GEUV:NA12400
ERR204977	GEUV:NA12775
ERR204978	GEUV:NA20527
ERR204982	GEUV:HG00142
ERR204983	GEUV:NA12762
ERR204985	GEUV:NA19144
ERR204989	GEUV:NA19150
ERR204991	GEUV:NA18487
ERR204993	GEUV:NA20527
ERR204994	GEUV:NA19119
ERR204995	GEUV:NA19236
ERR204999	GEUV:NA10847
ERR205005	GEUV:NA06986
ERR205008	GEUV:NA20543
ERR205011	GEUV:NA12777
ERR205012	GEUV:NA20786
ERR205013	GEUV:NA18858
ERR205015	GEUV:HG00325
ERR205018	GEUV:NA19113
ERR205019	GEUV:NA18502
ERR205020	GEUV:NA19198
ERR188029	GEUV:HG00355
ERR188030	GEUV:NA19119
ERR188032	GEUV:NA12275
ERR188033	GEUV:HG00336
ERR188034	GEUV:HG00273
ERR188037	GEUV:NA19236
ERR188042	GEUV:NA19204
ERR188046	GEUV:HG00320
ERR188058	GEUV:NA12005
ERR188059	GEUV:HG00125
ERR188063	GEUV:NA20509
ERR188064	GEUV:NA19144
ERR188065	GEUV:HG00149
